created_at,default_profile,default_profile_image,favourites_count,followers_count,friends_count,geo_enabled,statuses_count,verified,average_tweets_per_day,popularity,favourites_rate,follower_rate,friend_rate,bot_or_not
19,0,0,29235,134334,415,1,11262,0,3.386,71.211,2.281,3.723,0.118,0
2,1,0,217,13,220,0,61,0,0.022,14.246,0.074,0.005,0.075,1
8,1,0,33164,185,165,1,10720,0,4.446,26.714,2.692,0.074,0.066,0
23,0,0,232,1037270,0,0,10663,0,3.252,0.0,0.068,5.76,0.0,0
3,0,0,422,2300381,74,0,6680,1,1.695,63.245,0.102,6.371,0.019,0
20,0,0,1523,77349,1249,0,54484,1,12.994,80.266,0.31,2.968,0.261,0
13,1,0,368,85,490,0,262,0,0.188,27.601,0.235,0.059,0.302,0
22,0,0,1,661768,300,0,6037,1,1.502,76.491,0.0,5.11,0.072,0
0,0,0,13411,99,170,1,9574,0,7.515,23.678,2.445,0.075,0.125,0
13,1,0,2,76217,43532,0,801981,0,228.16,120.072,0.001,3.122,2.594,1
21,0,0,589,32152575,1,1,4575,1,1.197,11.982,0.143,9.038,0.0,0
8,1,0,185,29,270,1,62,0,0.036,19.054,0.102,0.017,0.145,1
0,1,0,2410,40,0,0,3356,0,1.656,0.0,0.784,0.02,0.0,1
19,0,0,578,181,490,1,1289,0,0.417,32.246,0.172,0.057,0.147,0
0,1,0,4230,90,73,1,1698,0,0.638,19.415,0.952,0.033,0.027,0
17,0,0,19844,3359,628,1,61348,1,13.337,52.324,1.67,0.548,0.128,0
11,0,0,2375,1243975,1421,1,21410,0,5.301,101.883,0.462,5.733,0.301,0
16,0,0,3546,22572,1601,1,14491,0,3.512,73.971,0.62,1.867,0.328,0
23,1,0,186,10,0,0,46,0,0.023,0.0,0.09,0.005,0.0,1
15,0,0,6,85,128,0,5820,0,1.457,21.647,0.002,0.021,0.032,1
9,1,0,8,62175,18519,0,53128,0,19.75,108.463,0.003,3.183,2.065,1
18,0,0,3090,159,369,1,6663,0,1.899,30.012,0.632,0.044,0.1,0
21,0,0,12219,110,87,1,7687,0,2.561,21.086,1.623,0.036,0.029,0
13,1,0,26,36,0,0,345,0,0.129,0.0,0.01,0.013,0.0,0
0,0,0,27,88,68,0,3790,0,1.145,19.005,0.008,0.026,0.02,0
17,0,0,6183,1305,1764,1,27502,0,11.551,53.638,1.28,0.437,0.554,0
16,0,0,12895,576,326,1,8190,0,2.336,36.812,1.543,0.152,0.089,0
12,0,0,11349,193,302,1,21601,0,7.113,30.099,1.555,0.062,0.095,0
17,0,0,5594,881,522,0,20944,0,6.649,42.454,1.021,0.247,0.153,0
16,1,0,595,293,1994,0,1026,0,0.344,43.186,0.182,0.094,0.512,0
0,0,0,5299,633759,958,0,18638,1,4.601,91.724,0.836,5.059,0.212,0
20,0,0,5952,216,1345,1,1691,0,1.5,38.762,1.838,0.175,0.785,0
1,1,0,468,11,0,0,92,0,0.031,0.0,0.147,0.004,0.0,1
14,1,0,454,739786,692,1,19632,0,6.082,88.396,0.132,5.439,0.194,0
19,1,0,26,1703281,1159,0,29297,0,7.197,101.242,0.006,6.039,0.251,0
6,0,0,2637,78,0,1,4033,0,1.1,0.0,0.542,0.021,0.0,1
15,0,0,114,1044551,246,1,36107,0,9.323,76.355,0.029,5.601,0.062,0
15,0,0,856,2,0,0,1267,0,0.369,0.0,0.223,0.001,0.0,1
18,1,0,482,226,440,0,719,0,0.174,33.033,0.11,0.053,0.101,0
11,0,0,13,212,0,1,7782,0,2.265,0.0,0.004,0.06,0.0,0
4,0,0,12716,418,245,1,4584,0,1.57,33.24,1.678,0.134,0.081,0
1,1,0,1327,4,19,0,1942,0,0.48,4.821,0.284,0.001,0.005,1
16,1,0,24315,7294,7341,0,3385,0,0.908,79.177,2.018,1.084,1.088,0
20,1,0,2414,142,51,1,13900,0,4.432,19.609,0.571,0.044,0.016,0
14,0,0,1827,278814,75,0,123795,0,40.245,54.3,0.466,4.518,0.024,1
20,1,0,6117,45101,1142,0,14484,1,3.951,75.461,0.982,2.588,0.271,0
23,1,0,18726,2265,1756,0,92225,0,37.414,57.722,2.151,0.652,0.538,0
0,0,0,0,78,12,0,8027,0,7.58,11.207,0.0,0.071,0.011,1
13,0,0,13965,286,143,0,35997,0,11.486,28.127,1.697,0.087,0.045,1
12,0,0,363565,822,416,0,12877,0,3.208,40.5,4.517,0.186,0.099,0
18,1,0,28747,1000,846,1,20692,0,10.622,46.577,2.757,0.414,0.361,0
1,0,0,2426,2984,3706,0,4770,0,1.461,65.755,0.555,0.649,0.758,1
12,1,0,2817,14679,861,0,27090,0,9.993,64.85,0.713,1.859,0.276,1
14,0,0,2372,48,89,0,3388,0,0.924,17.512,0.499,0.013,0.024,1
14,0,0,23063,23174,20208,1,51035,1,16.289,99.643,2.124,2.128,2.008,0
9,1,0,237,1956645,324,0,4742,1,1.236,83.789,0.06,6.236,0.081,0
8,1,0,237,23,103,0,689,0,0.872,14.76,0.262,0.029,0.123,1
2,1,0,807,45,66,1,1847,0,0.6,16.098,0.233,0.015,0.021,0
2,0,0,6822,174,1372,1,15957,0,3.9,37.314,0.981,0.042,0.289,0
4,1,0,1332,7,33,0,1333,0,0.922,7.333,0.653,0.005,0.023,1
22,0,0,1912,515,21,0,7314,0,2.03,19.307,0.426,0.134,0.006,1
18,1,0,2161,29,36,1,3244,0,1.058,12.281,0.534,0.009,0.012,1
17,0,0,185,7,0,1,28,0,0.008,0.0,0.05,0.002,0.0,1
12,1,0,700,13,99,0,317,0,0.078,12.153,0.159,0.003,0.024,0
11,1,0,20,0,0,0,114,0,0.099,0.0,0.017,0.0,0.0,1
15,0,0,0,82607,91245,0,1055874,0,251.758,129.311,0.0,3.03,3.125,1
4,0,0,18,8,22,0,23,0,0.035,6.889,0.027,0.012,0.033,0
3,0,0,1963,9423,10245,1,66591,0,16.365,84.506,0.394,1.199,1.258,1
14,0,0,8971,7060,1467,1,16044,0,4.883,64.621,1.316,1.147,0.369,0
7,0,0,4565,64770,1584,0,482,1,0.143,81.631,0.857,3.007,0.385,0
19,1,0,2230,35,69,0,4585,0,1.297,15.225,0.489,0.01,0.019,1
6,0,0,1,68,103,1,5370,0,1.625,19.665,0.0,0.02,0.031,1
2,1,0,1365,171,164,0,404,0,0.169,26.283,0.452,0.069,0.066,0
18,0,0,1838,15,23,0,2684,0,1.528,8.811,0.716,0.009,0.013,1
18,0,0,2013,44,139,0,2536,0,0.709,18.811,0.447,0.012,0.038,1
22,1,0,1770,690,346,0,3884,0,1.436,38.244,0.503,0.227,0.12,0
4,0,0,2,4210,1,1,3104,0,1.067,5.785,0.001,0.895,0.0,0
11,1,0,211,371,78,0,474,0,0.332,25.862,0.138,0.231,0.053,0
21,1,0,4195,781,667,1,2751,0,1.107,43.331,0.989,0.273,0.238,0
17,1,0,472098,1366,1269,1,25757,0,12.306,51.602,5.423,0.502,0.474,0
19,1,0,2239,270,110,0,3180,0,1.117,26.383,0.58,0.091,0.038,1
18,1,0,15838,89,91,0,11046,0,12.301,20.347,2.925,0.094,0.097,0
23,0,0,1565,289601,334302,1,54248,0,13.603,159.968,0.331,4.299,4.441,0
17,0,0,5584,373,89,1,25162,0,8.122,26.658,1.03,0.114,0.028,1
16,1,0,6050,80,974,1,719,0,0.445,30.245,1.558,0.048,0.472,0
19,0,0,777,893287,27508,1,51868,0,16.508,140.072,0.221,5.654,2.278,0
19,0,0,2027,368,71,0,11879,0,5.725,25.279,0.682,0.163,0.034,0
2,1,0,276,21,198,0,301,0,0.245,16.362,0.202,0.017,0.149,1
14,1,0,7174,1626,1497,0,6751,0,1.536,54.068,0.968,0.315,0.293,0
17,0,0,625,34,71,1,1032,0,0.216,15.205,0.123,0.007,0.015,0
0,0,0,8021,170,214,1,35529,0,9.861,27.614,1.171,0.046,0.058,0
4,1,0,15,53,16,0,12,0,0.009,11.302,0.011,0.04,0.012,1
2,0,0,6459,23246,23022,1,10628,1,2.963,100.984,1.03,2.012,2.004,0
20,0,0,112649,1496,584,1,111821,0,46.38,46.584,3.865,0.483,0.217,0
4,1,0,478,1,0,0,832,0,0.324,0.0,0.171,0.0,0.0,1
23,1,0,576,5,32,0,844,0,0.649,6.265,0.367,0.004,0.024,1
13,0,0,14585,1552,908,1,48590,0,19.366,50.057,1.919,0.482,0.309,0
20,0,0,7996,966,800,1,19822,0,4.846,45.96,1.084,0.212,0.179,0
13,1,0,2280,333,310,0,12609,0,6.456,33.355,0.774,0.157,0.147,0
11,0,0,410,1058,275,0,33269,0,13.914,39.147,0.158,0.366,0.109,0
8,1,0,235,602928,201,1,1330,1,0.324,70.651,0.056,4.997,0.048,0
8,0,0,44347,366,1154,0,20543,0,5.91,41.644,2.622,0.1,0.287,0
5,0,0,4888,651,1020,0,16524,0,3.349,44.897,0.688,0.124,0.188,0
17,1,0,11108,1045,417,1,2424,0,0.773,41.963,1.513,0.288,0.125,0
1,1,0,0,137,378,0,559,0,0.324,29.256,0.0,0.077,0.198,0
